Wyszczególnienie,"Liczba 
ludności",Małżeństwa,"Urodzenia 
żywe",,,"Przyrost 
naturalny",,,,,,,,"Różnica sald migracji 
na pobyt 
czasowyb"
,,,,Zgony ogółem,"Zgony w tym 
niemowląt",,Migracje na pobyt stały wewnętrzne napływa,Migracje na pobyt stały wewnętrzne odpływa,"Migracje na pobyt stały saldo migracji  
wewnętrznych",Migracje na pobyt stały zagraniczne imigracja,Migracje na pobyt stały zagraniczne emigracja,Migracje na pobyt stały saldo migracji zagranicznych,"Migracje na pobyt stały ogólne saldo 
migracji stałej ",
,,,,,,,,,,,,,,
POLSKA,37489087,135402,251782,408504,898,-156722,455899,455899,-,19515,10214,9301,9301,-
     mężczyźni,18107027,X,129750,209103,523,-79353,218447,218447,-,9993,6012,3981,3981,-
     kobiety,19382060,X,122032,199401,375,-77369,237452,237452,-,9522,4202,5320,5320,-
Miasta,22275967,84139,148016,254811,529,-106795,240715,283140,-42425,13727,6765,6962,-35463,415
Miasta mężczyźni,10521950,X,76339,127424,311,-51085,113911,137778,-23867,7009,3978,3031,-20836,678
Miasta kobiety,11754017,X,71677,127387,218,-55710,126804,145362,-18558,6718,2787,3931,-14627,-263
Wieś,15213120,51263,103766,153693,369,-49927,215184,172759,42425,5788,3449,2339,44764,-415
Wieś mężczyźni,7585077,X,53411,81679,212,-28268,104536,80669,23867,2984,2034,950,24817,-678
Wieś kobiety,7628043,X,50355,72014,157,-21659,110648,92090,18558,2804,1415,1389,19947,263
w tym gminy miejsko-wiejskie,9249544,30524,60516,101526,201,-41010,116356,115585,771,3797,2757,1040,1811,-498
w tym gminy miejsko-wiejskie mężczyźni,4531502,X,31045,53015,124,-21970,56130,55276,854,1883,1603,280,1134,-726
w tym gminy miejsko-wiejskie kobiety,4718042,X,29471,48511,77,-19040,60226,60309,-83,1914,1154,760,677,228
na 1000 ludności,X,3.6047,6.7029,10.8751,3.5666,-4.1722,12.1369,12.1369,-,0.5195,0.2719,0.2476,0.2476,-
na 1000 ludności miasto,X,3.7659,6.6250,11.4049,3.5739,-4.7800,10.7740,12.6729,-1.8989,0.6144,0.3028,0.3116,-1.5873,0.0186
na 1000 ludności wieś,X,3.3679,6.8173,10.0975,3.5561,-3.2802,14.1374,11.3501,2.7873,0.3803,0.2266,0.1537,2.9410,-0.0273
